pair,i,sign,kz,wd,hour_ny,sweep_min,mss,t_mss,mss_in_hour,fvg,cls_60,depth_60,swept_60,ce_60,inval_60,target_60,h1_dir,h1_directional,race_ph,race_ext1,race_open,ret_before,ret_any,sweep_depth_atr
GBPUSD,15964,1,London,Thu,2,13,True,35.0,True,True,cont_no_retrace,0.11904761904737989,True,True,True,False,False,False,fail,fail,fail,True,True,0.18461538461533125
GBPUSD,15965,1,London,Thu,3,1,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,15966,1,London,Thu,4,17,True,33.0,True,True,retrace_cont,0.30882352941182234,False,False,False,False,False,False,neither,target,target,True,True,0.5804111245466471
GBPUSD,15970,-1,NY_AM,Thu,8,0,True,24.0,True,True,retrace_cont,1.2857142857139836,True,True,True,False,True,False,fail,fail,fail,True,True,0.24414303329218662
GBPUSD,15971,1,NY_AM,Thu,9,16,True,23.0,True,True,cont_no_retrace,0.1492537313432539,True,True,False,True,True,True,fail,fail,target,False,True,0.06553398058263003
GBPUSD,15971,-1,NY_AM,Thu,9,30,True,12.0,False,False,noFVG_cont,0.21428571428576285,False,False,False,False,False,False,neither,target,neither,False,False,2.8252427184465088
GBPUSD,15972,-1,NY_AM,Thu,10,0,True,12.0,True,False,noFVG_cont,0.21428571428576285,False,False,False,False,False,False,neither,target,target,False,False,0.867553499132421
GBPUSD,16036,-1,London,Tue,2,6,True,22.0,True,True,retrace_cont,0.10000000000066614,True,True,True,False,False,False,fail,target,target,True,True,0.2526315789471965
GBPUSD,16037,-1,London,Tue,3,0,True,52.0,True,True,cont_no_retrace,0.1704545454546544,True,True,True,False,False,False,fail,fail,fail,True,True,0.9067822855372756
GBPUSD,16038,-1,London,Tue,4,1,True,32.0,True,True,cont_no_retrace,0.2750000000000139,False,False,False,False,True,False,neither,target,target,False,False,0.730661696179055
GBPUSD,16042,1,NY_AM,Tue,8,0,True,24.0,True,True,cont_no_retrace,0.06730769230771079,False,False,False,True,True,True,target,target,target,False,False,0.13972602739725729
GBPUSD,16044,-1,NY_AM,Tue,10,20,True,46.0,True,True,retrace_fail,2.3936170212762717,True,True,True,False,False,False,fail,fail,fail,True,True,0.9686098654708467
GBPUSD,16060,-1,London,Wed,2,3,True,14.0,True,False,noFVG_cont,0.3499999999997224,True,False,False,True,False,False,fail,fail,fail,False,False,0.238657551274154
GBPUSD,16061,1,London,Wed,3,7,True,23.0,True,False,noFVG_cont,0.4583333333330635,True,False,False,False,False,False,fail,fail,fail,False,False,0.2897832817338278
GBPUSD,16061,-1,London,Wed,3,0,True,2.0,True,True,retrace_cont,0.34905660377354736,False,True,False,True,True,False,target,neither,target,True,True,0.3120743034056353
GBPUSD,16062,1,London,Wed,4,2,True,24.0,True,True,cont_no_retrace,0.3015873015874526,False,True,False,False,False,False,neither,neither,neither,True,True,0.37317073170732035
GBPUSD,16068,-1,NY_AM,Wed,10,0,True,5.0,True,False,noFVG_cont,0.7169811320756693,True,False,False,False,False,False,fail,fail,target,False,False,0.08733046642394651
GBPUSD,16084,1,London,Thu,2,11,True,0.0,False,True,retrace_cont,1.541666666666474,True,True,True,False,False,False,fail,fail,fail,True,True,0.7556818181818395
GBPUSD,16085,1,London,Thu,3,5,True,15.0,True,True,cont_no_retrace,0.31868131868146615,False,False,False,True,False,False,target,target,target,True,True,0.28795569912312696
GBPUSD,16086,-1,London,Thu,4,4,True,54.0,True,True,retrace_cont,0.6000000000001366,True,True,True,False,False,False,fail,target,fail,True,True,1.9709342560553473
GBPUSD,16090,1,NY_AM,Thu,8,4,True,52.0,True,True,cont_no_retrace,0.3170731707318724,True,True,True,False,False,False,fail,fail,fail,True,True,1.4762921828278315
GBPUSD,16090,-1,NY_AM,Thu,8,0,True,2.0,True,True,cont_no_retrace,0.1180124223602022,False,False,False,True,True,True,target,target,target,False,False,0.34344297308839344
GBPUSD,16091,1,NY_AM,Thu,9,30,True,8.0,False,True,retrace_fail,6.585106382979286,True,True,True,False,False,False,fail,fail,fail,True,True,1.2729439809296477
GBPUSD,16092,1,NY_AM,Thu,10,0,True,8.0,True,True,retrace_fail,6.585106382979286,True,True,True,False,False,False,fail,fail,target,True,True,0.3827089337175258
GBPUSD,16156,1,London,Tue,2,1,True,10.0,True,True,cont_no_retrace,0.07407407407415022,True,True,True,False,False,False,fail,target,target,True,True,0.07190412782949981
GBPUSD,16157,1,London,Tue,3,4,True,6.0,True,True,cont_no_retrace,0.12499999999988436,True,True,True,True,True,False,fail,fail,target,True,True,0.040363269424908844
GBPUSD,16162,-1,NY_AM,Tue,8,4,True,18.0,True,True,cont_no_retrace,0.06779661016956169,False,True,True,False,False,False,neither,neither,target,True,True,0.2657091561938825
GBPUSD,16164,-1,NY_AM,Tue,10,0,True,30.0,True,True,cont_no_retrace,0.28260869565210744,False,False,False,True,True,False,target,target,target,False,False,0.48086124401910296
GBPUSD,16180,-1,London,Wed,2,1,True,3.0,True,True,cont_no_retrace,0.23684210526292723,False,True,True,True,True,False,target,target,target,True,True,0.1256179121838236
GBPUSD,16181,1,London,Wed,3,13,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,16182,1,London,Wed,4,12,True,21.0,True,False,noFVG_cont,0.9767441860463675,True,False,False,False,False,False,fail,fail,fail,False,False,0.47524752475248755
GBPUSD,16187,1,NY_AM,Wed,9,2,True,5.0,True,True,cont_no_retrace,0.19178082191781656,True,True,True,True,False,False,target,target,target,False,True,0.00764331210196077
GBPUSD,16187,-1,NY_AM,Wed,9,19,True,31.0,True,True,cont_no_retrace,0.13861386138617343,False,False,False,True,True,False,target,target,target,False,False,0.09171974522285037
GBPUSD,16188,1,NY_AM,Wed,10,12,True,55.0,True,True,cont_no_retrace,0.021276595744664097,False,True,True,False,False,False,neither,target,target,True,True,0.7082445999390791
GBPUSD,16204,1,London,Thu,2,11,True,37.0,True,True,cont_no_retrace,0.1428571428569918,True,True,True,False,False,False,fail,fail,fail,True,True,0.40639698965190335
GBPUSD,16205,1,London,Thu,3,0,True,14.0,True,True,cont_no_retrace,0.22448979591808066,False,False,False,True,True,True,target,target,target,False,False,0.26481715006309936
GBPUSD,16210,1,NY_AM,Thu,8,0,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,16211,1,NY_AM,Thu,9,6,True,27.0,True,True,retrace_cont,0.18518518518516996,True,True,True,False,False,False,fail,fail,fail,True,True,0.39622641509442225
GBPUSD,16276,-1,London,Tue,2,0,True,27.0,True,True,cont_no_retrace,0.18032786885218452,False,True,True,False,True,False,neither,target,target,True,True,0.6452459016393692
GBPUSD,16277,1,London,Tue,3,3,True,12.0,True,True,cont_no_retrace,0.13207547169813297,False,False,False,True,True,False,target,target,target,False,False,0.36387096774190575
GBPUSD,16277,-1,London,Tue,3,30,True,57.0,True,True,cont_no_retrace,0.09782608695643517,False,True,True,True,False,False,target,target,target,True,True,0.38709677419349847
