hour,wd,target,directional,body_atr,target_2h,prev_hour,prev_2h,prev_session,prev_day,prev_hour_body_atr,prev_hour_swept,open_vs_day_open,open_vs_midnight,open_vs_session_mid,agree_hour_session,prev_hour_closed_outside,pair
3,Wed,1.0,True,0.7926605504586928,1.0,1.0,-1.0,-1.0,1.0,0.03914373088678062,1,1.0,1.0,1.0,0.0,0,EURUSD
9,Wed,-1.0,True,0.7677329624478099,-1.0,-1.0,-1.0,-1.0,1.0,0.8066759388039916,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Thu,-1.0,False,0.1453287197232161,-1.0,1.0,1.0,1.0,-1.0,0.6435986159168803,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Thu,-1.0,True,1.1172296338347323,-1.0,-1.0,-1.0,-1.0,-1.0,0.9877944933295377,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,-1.0,False,0.9700130378095003,-1.0,-1.0,-1.0,-1.0,-1.0,0.1564537157758454,1,1.0,-1.0,1.0,-1.0,0,EURUSD
3,Wed,-1.0,True,0.6338725652031403,-1.0,-1.0,-1.0,1.0,-1.0,0.22977880488619773,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Thu,-1.0,True,1.006329113924083,-1.0,-1.0,-1.0,1.0,0.0,0.5696202531646907,0,-1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,True,1.8224687933424817,1.0,1.0,1.0,-1.0,1.0,0.5076282940360531,0,1.0,-1.0,1.0,0.0,0,EURUSD
3,Wed,1.0,False,0.4479108635098599,1.0,1.0,1.0,1.0,-1.0,2.30640668523672,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Thu,1.0,False,0.13938053097348116,-1.0,-1.0,-1.0,-1.0,-1.0,0.21238938053103998,1,-1.0,1.0,1.0,-1.0,0,EURUSD
3,Tue,-1.0,True,0.9312726076947897,-1.0,1.0,1.0,-1.0,0.0,0.7418612298585405,0,0.0,1.0,-1.0,0.0,0,EURUSD
9,Tue,-1.0,False,0.6153846153846914,0.0,-1.0,0.0,-1.0,0.0,0.9712696941611959,1,0.0,1.0,1.0,-1.0,0,EURUSD
3,Wed,-1.0,True,0.5594594594595351,-1.0,1.0,1.0,-1.0,0.0,0.32432432432429514,0,1.0,-1.0,-1.0,0.0,0,EURUSD
9,Wed,1.0,True,1.158938279501233,0.0,-1.0,0.0,-1.0,0.0,0.4374800127917896,-1,1.0,-1.0,-1.0,-1.0,0,EURUSD
3,Thu,1.0,False,0.09041439933018611,1.0,1.0,1.0,1.0,-1.0,0.5123482628715007,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Thu,1.0,False,0.29705132872224016,0.0,1.0,0.0,1.0,-1.0,0.6727338915181401,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Tue,-1.0,False,0.3749999999999401,1.0,-1.0,-1.0,-1.0,0.0,0.5032894736842253,1,-1.0,1.0,1.0,-1.0,0,EURUSD
9,Tue,-1.0,True,1.3626191462909136,0.0,1.0,1.0,1.0,0.0,0.6713634479900387,-1,0.0,-1.0,-1.0,1.0,1,EURUSD
3,Wed,1.0,False,0.17727967396835512,-1.0,-1.0,-1.0,1.0,0.0,0.24452368823240586,0,-1.0,1.0,1.0,0.0,0,EURUSD
3,Thu,1.0,True,0.9849889624724448,1.0,-1.0,1.0,1.0,-1.0,0.08631346578366726,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Tue,1.0,True,0.7874465049928561,1.0,-1.0,-1.0,-1.0,0.0,0.5683309557775346,1,0.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,False,0.08123354644596292,1.0,-1.0,-1.0,-1.0,0.0,0.5235050770966732,1,0.0,1.0,1.0,-1.0,0,EURUSD
3,Thu,-1.0,False,0.703155183515758,-1.0,1.0,1.0,1.0,0.0,0.8036059240179847,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,-1.0,False,0.19199999999996295,1.0,-1.0,-1.0,1.0,0.0,0.1502608695650917,0,0.0,1.0,-1.0,0.0,0,EURUSD
3,Wed,-1.0,True,0.8917609046850105,1.0,-1.0,-1.0,-1.0,0.0,0.5718901453956745,1,0.0,1.0,1.0,-1.0,-1,EURUSD
3,Thu,1.0,False,0.4077669902911558,1.0,1.0,1.0,-1.0,0.0,0.19140083217767365,-1,0.0,-1.0,-1.0,0.0,0,EURUSD
3,Tue,1.0,True,1.6000000000000438,1.0,-1.0,-1.0,-1.0,1.0,0.6414746543778419,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,True,0.7436847423375189,-1.0,1.0,-1.0,1.0,1.0,0.24250589424046018,1,-1.0,1.0,1.0,1.0,0,EURUSD
3,Thu,1.0,True,0.6153846153846553,1.0,1.0,1.0,-1.0,-1.0,0.12463485881202298,0,1.0,-1.0,1.0,0.0,0,EURUSD
9,Thu,-1.0,True,1.5536626916523386,-1.0,1.0,1.0,1.0,-1.0,1.0494037478704286,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Tue,-1.0,True,0.9323076923076582,1.0,1.0,1.0,1.0,1.0,1.0892307692307397,-1,1.0,-1.0,-1.0,1.0,1,EURUSD
3,Wed,-1.0,False,0.787178531494552,-1.0,1.0,1.0,1.0,0.0,0.8766306373461965,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Thu,-1.0,False,0.24841402337231566,1.0,-1.0,-1.0,-1.0,1.0,0.4968280467444534,1,1.0,1.0,1.0,-1.0,0,EURUSD
3,Tue,1.0,False,0.6549898167005528,1.0,1.0,1.0,1.0,0.0,0.5181262729123387,-1,1.0,-1.0,-1.0,1.0,1,EURUSD
3,Wed,-1.0,False,0.45616757176115497,1.0,-1.0,-1.0,-1.0,0.0,0.6982156710628742,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Thu,1.0,False,0.430641821946226,-1.0,1.0,1.0,1.0,-1.0,0.22360248447203998,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Thu,1.0,False,1.620760837510964,0.0,-1.0,0.0,1.0,-1.0,1.153641993512234,0,1.0,-1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,False,0.23257547521424585,-1.0,-1.0,-1.0,0.0,1.0,0.187849422288521,1,-1.0,1.0,1.0,0.0,-1,EURUSD
3,Wed,1.0,True,1.62344983089069,1.0,1.0,1.0,1.0,0.0,0.6944757609920629,-1,0.0,-1.0,-1.0,1.0,1,EURUSD
3,Thu,-1.0,False,0.2519685039369528,-1.0,1.0,1.0,1.0,0.0,0.6299212598424597,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,1.0,True,0.7485380116958255,1.0,-1.0,-1.0,1.0,0.0,0.09356725146197818,0,0.0,1.0,-1.0,0.0,0,EURUSD
3,Wed,1.0,True,0.8761514841350507,1.0,-1.0,-1.0,1.0,0.0,0.13920163766633176,0,0.0,1.0,-1.0,0.0,0,EURUSD
3,Thu,-1.0,False,0.6407766990291227,-1.0,1.0,1.0,1.0,0.0,0.1820388349515178,-1,-1.0,0.0,-1.0,1.0,0,EURUSD
3,Tue,-1.0,False,0.009430255402812199,-1.0,1.0,1.0,-1.0,-1.0,0.5092337917485085,1,1.0,-1.0,1.0,0.0,0,EURUSD
3,Wed,1.0,False,0.3074204946997686,-1.0,-1.0,-1.0,1.0,-1.0,0.5830388692579871,0,-1.0,1.0,-1.0,0.0,0,EURUSD
3,Thu,-1.0,True,3.6425855513308236,-1.0,1.0,1.0,-1.0,1.0,0.2433460076046353,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,False,0.5872576177286882,1.0,-1.0,-1.0,1.0,0.0,1.307479224376685,0,-1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,1.0,False,0.06190885640579297,-1.0,-1.0,-1.0,1.0,0.0,1.176268271710983,1,0.0,1.0,1.0,0.0,-1,EURUSD
3,Thu,-1.0,False,0.39254469380006424,-1.0,-1.0,-1.0,-1.0,0.0,0.23735260555357907,1,0.0,1.0,1.0,-1.0,-1,EURUSD
9,Thu,-1.0,True,2.0394289598912176,0.0,-1.0,0.0,-1.0,0.0,0.008157715839618487,0,0.0,1.0,1.0,-1.0,0,EURUSD
3,Tue,1.0,False,0.2058319039450868,-1.0,-1.0,-1.0,-1.0,0.0,0.2881646655232129,1,-1.0,1.0,1.0,-1.0,0,EURUSD
9,Tue,-1.0,False,0.8028776978418157,0.0,-1.0,0.0,-1.0,0.0,0.42302158273390317,1,0.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,False,0.5641434262947022,1.0,1.0,1.0,1.0,0.0,0.3442231075696452,-1,0.0,-1.0,-1.0,1.0,1,EURUSD
3,Thu,-1.0,False,0.6649195058030364,-1.0,1.0,1.0,-1.0,0.0,0.4762261325345586,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,True,0.9281767955802853,1.0,-1.0,-1.0,-1.0,0.0,2.419889502762291,1,0.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,True,0.8790697674418823,-1.0,-1.0,-1.0,-1.0,0.0,0.04186046511624322,1,1.0,1.0,1.0,-1.0,0,EURUSD
3,Thu,1.0,True,0.5345043914680015,-1.0,-1.0,-1.0,-1.0,0.0,0.3312421580928484,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,-1.0,False,0.11622276029054629,-1.0,1.0,1.0,1.0,-1.0,0.1743341404356904,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Wed,-1.0,True,0.953789279112822,-1.0,-1.0,-1.0,-1.0,0.0,0.5878003696856628,1,0.0,1.0,1.0,-1.0,-1,EURUSD
3,Thu,1.0,False,0.09168081494049835,1.0,-1.0,1.0,1.0,0.0,0.13242784380301745,-1,-1.0,-1.0,-1.0,0.0,0,EURUSD
9,Thu,1.0,False,0.9582733812951061,0.0,1.0,0.0,1.0,0.0,0.5093525179856888,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,1.0,True,0.9526864474740006,1.0,1.0,1.0,1.0,0.0,0.05773857257413005,-1,0.0,-1.0,-1.0,1.0,0,EURUSD
3,Wed,1.0,True,0.7744742567076115,1.0,-1.0,-1.0,1.0,0.0,1.1747643219725974,1,1.0,1.0,1.0,0.0,-1,EURUSD
3,Thu,-1.0,False,0.6110215920077938,1.0,1.0,1.0,-1.0,1.0,0.5259426361585726,1,1.0,-1.0,1.0,0.0,0,EURUSD
3,Tue,-1.0,False,0.5515892420537649,1.0,1.0,1.0,-1.0,0.0,1.4787286063567797,-1,0.0,-1.0,-1.0,0.0,1,EURUSD
3,Wed,-1.0,False,0.1845365228535492,1.0,-1.0,-1.0,-1.0,0.0,0.399829132849091,1,0.0,1.0,1.0,-1.0,0,EURUSD
3,Thu,-1.0,False,0.32929782082325393,1.0,-1.0,-1.0,1.0,0.0,0.14527845036328882,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,True,1.3505627344726618,1.0,-1.0,-1.0,1.0,0.0,0.5402250937890647,0,-1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,-1.0,True,1.479787668436249,-1.0,1.0,1.0,-1.0,0.0,0.4507962433645554,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Thu,1.0,False,0.2912205567451956,1.0,1.0,1.0,-1.0,0.0,0.7451820128479221,0,1.0,-1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,True,1.8039519566060078,1.0,-1.0,-1.0,-1.0,-1.0,0.4742347927158027,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,1.0,False,0.13692946058070296,1.0,1.0,1.0,-1.0,-1.0,0.7095435684646729,1,1.0,-1.0,1.0,0.0,0,EURUSD
3,Thu,1.0,True,0.9968586387432876,1.0,1.0,1.0,-1.0,0.0,1.0219895287958083,-1,0.0,-1.0,-1.0,0.0,0,EURUSD
3,Tue,1.0,True,1.4346712211785497,1.0,-1.0,-1.0,1.0,0.0,1.3321947053798706,-1,-1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,-1.0,False,0.34049871023209044,1.0,-1.0,-1.0,1.0,0.0,1.0421324161650218,0,-1.0,1.0,-1.0,0.0,0,EURUSD
3,Thu,1.0,True,1.4647492108033109,1.0,-1.0,-1.0,1.0,0.0,0.8333917923536112,1,1.0,1.0,1.0,0.0,-1,EURUSD
3,Tue,1.0,False,0.5416985462892847,1.0,-1.0,-1.0,1.0,0.0,0.14690130068854013,-1,0.0,-1.0,-1.0,0.0,0,EURUSD
3,Wed,-1.0,True,1.6615957777089023,-1.0,1.0,1.0,-1.0,0.0,0.9835454827693083,-1,0.0,-1.0,-1.0,0.0,1,EURUSD
3,Thu,-1.0,False,0.5490774907749717,-1.0,-1.0,-1.0,1.0,0.0,0.37195571955708034,0,0.0,1.0,-1.0,0.0,0,EURUSD
9,Thu,-1.0,True,1.9168576104746389,0.0,1.0,0.0,-1.0,0.0,0.22782324058912168,0,0.0,1.0,1.0,0.0,0,EURUSD
3,Tue,1.0,False,0.27586206896538573,-1.0,1.0,-1.0,1.0,0.0,0.4500907441016733,0,-1.0,1.0,-1.0,1.0,0,EURUSD
3,Wed,1.0,False,0.13207547169813988,1.0,1.0,1.0,-1.0,-1.0,1.32075471698098,-1,-1.0,-1.0,-1.0,0.0,1,EURUSD
3,Thu,1.0,True,0.8797886393658845,1.0,-1.0,-1.0,1.0,1.0,0.5627476882430623,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,-1.0,False,0.3307563025208522,-1.0,1.0,1.0,-1.0,-1.0,0.6937815126051207,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
9,Tue,-1.0,True,1.5630936227950778,-1.0,-1.0,1.0,-1.0,-1.0,0.5373134328357345,0,1.0,1.0,1.0,-1.0,0,EURUSD
3,Wed,-1.0,False,0.29896633978264897,-1.0,1.0,1.0,-1.0,-1.0,0.3244102835939653,0,-1.0,-1.0,1.0,0.0,0,EURUSD
9,Wed,-1.0,True,1.2193389784211774,-1.0,-1.0,-1.0,-1.0,-1.0,0.032777929527520656,0,1.0,1.0,1.0,-1.0,0,EURUSD
3,Thu,-1.0,True,1.3621412447597334,-1.0,1.0,1.0,-1.0,-1.0,1.2537891002901858,1,1.0,-1.0,-1.0,0.0,0,EURUSD
9,Thu,1.0,False,0.21358647285669474,-1.0,1.0,1.0,1.0,-1.0,0.056956392761690414,-1,1.0,1.0,-1.0,1.0,0,EURUSD
3,Tue,-1.0,False,0.12129963898919746,-1.0,1.0,1.0,-1.0,-1.0,0.5718411552345681,0,1.0,-1.0,-1.0,0.0,0,EURUSD
9,Tue,1.0,False,0.14955723187923514,-1.0,-1.0,-1.0,-1.0,-1.0,0.9760577238438065,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,False,0.3139885944314906,1.0,1.0,1.0,1.0,-1.0,0.7889969808788873,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,1.0,True,1.109605420486275,1.0,-1.0,-1.0,1.0,-1.0,0.6026305300915703,0,-1.0,-1.0,1.0,0.0,0,EURUSD
3,Thu,1.0,True,0.9277310924369793,1.0,1.0,1.0,1.0,1.0,0.5949579831933508,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Thu,1.0,False,2.330804248861803,1.0,-1.0,-1.0,1.0,1.0,1.0288315629742657,-1,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Tue,1.0,True,0.8473967684022898,1.0,1.0,-1.0,1.0,-1.0,0.11490125673245172,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Tue,-1.0,False,0.5140376266280516,1.0,-1.0,-1.0,1.0,-1.0,0.3890014471779308,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Wed,1.0,False,0.25548387096769914,1.0,1.0,1.0,1.0,1.0,0.20129032258076252,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,-1.0,True,0.8673712921921736,-1.0,-1.0,-1.0,1.0,1.0,0.41732015001706113,1,-1.0,-1.0,1.0,0.0,0,EURUSD
3,Thu,1.0,True,0.8281631230394351,1.0,1.0,1.0,-1.0,-1.0,0.4182642035552046,0,1.0,-1.0,-1.0,0.0,0,EURUSD
9,Thu,1.0,False,0.9645776566757139,1.0,1.0,1.0,1.0,-1.0,0.8910081743869482,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,1.0,True,1.2110532639167404,1.0,-1.0,-1.0,1.0,1.0,0.3364036844213761,0,-1.0,1.0,-1.0,0.0,0,EURUSD
9,Tue,-1.0,True,1.6848394324121683,-1.0,-1.0,-1.0,-1.0,1.0,0.17923823749064774,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,False,0.08053691275161051,-1.0,1.0,1.0,1.0,-1.0,0.15212527964206343,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,-1.0,True,0.5728121757178152,1.0,1.0,1.0,-1.0,-1.0,0.31546177793155306,1,1.0,1.0,1.0,0.0,0,EURUSD
3,Thu,-1.0,True,1.0402476780186407,-1.0,1.0,1.0,1.0,1.0,0.07430340557274827,-1,-1.0,-1.0,-1.0,1.0,0,EURUSD
